ra,dec,tic_id,sy_dist,sy_disterr,st_lum,st_mass,inclination
11.43997068711,-47.55198514055,S80431620,15.04181957244873,0.0093884468078613,-0.0314912887210556,0.9685804843902588,58.29157079037583
173.62285964019,-32.8313389866,S57611256,9.55638599395752,0.0023488998413094,-0.4304365509039735,0.8674441576004028,35.64793073096462
223.34903154744,19.15279653395,S267365256,11.625937461853027,0.081247329711914,-0.2667917230177092,0.85,17.127281550204877
116.98633711754,-12.19270676794,S334453577,28.79161262512207,0.06005859375,0.5527202239278253,1.34,21.69933872872822
314.19720986959,-26.29638038876,S29495621,21.082359313964844,0.0335721969604492,0.2809860947188955,1.1481765508651731,5.671635449172888
279.72250627749,-21.05187264419,S1544160,13.022345542907717,0.0084362030029305,-0.1660630388564943,1.0,10.249344535046948
301.0259204349,17.07018816569,S275240386,17.760881423950195,0.0141363143920898,0.1081690370948299,1.0109572410583496,24.334650177529642
1.57989759798,-49.07518723683,S389757979,26.17207908630371,0.0303201675415056,0.4659083845933756,1.2201716899871826,26.639185135780487
27.17317710594,32.69020874657,S20931913,27.67787742614746,0.0465250015258789,0.4962695884843792,1.1313939094543457,14.105634178323038
75.20416315328,-5.75367250078,S213041474,8.842376708984375,0.0016741752624511,-0.5375546260705887,0.81,58.22632456022501
236.00757887771,2.51516688033,S459427073,14.784832954406738,0.0083913803100603,-0.0637527495035227,0.9173334240913392,60.856926252114775
173.06683323245,-29.2633037413,S429149602,28.13764762878418,0.0469646453857439,0.51069953844548,1.159745693206787,31.964744059428003
133.79909191174,-54.96576739875,S382969293,24.33684730529785,0.0221843719482439,0.3998123493625563,1.1981861591339111,14.078308103821017
293.58245714813,51.23661882894,S26884478,25.41448783874512,0.016341209411621,0.4340149113992857,1.205599665641785,50.90275668315585
256.33421492448,54.47063222095,S1271046655,27.165382385253903,0.0931501388549822,0.495183862544884,1.3,25.66244234497172
124.59977904019,-12.63216950035,S307624961,12.575067520141602,0.0056509971618652,-0.2153501034063122,0.8681789040565491,7.1286450650494855
134.68305359587,-16.13272372103,S348837162,21.40991973876953,0.0218086242675781,0.2699249351806342,1.0379278659820557,28.721669964467953
86.11057040435,-22.42183729712,S93279196,8.890215873718262,0.0014715194702148,-0.5538347027910387,0.8001447319984436,11.897517479933276
43.13386743877,-12.76971407131,S30016911,10.357582092285156,0.0023140907287588,-0.3967292161453585,0.798069953918457,1.6321496337424974
265.49210065952,72.15689906753,S441804565,22.68944931030273,0.02764892578125,0.3169843138296309,1.1340665817260742,27.615222497404094
40.30833018778,-0.69565233916,S35761475,22.26558494567871,0.0187692642211914,0.3048748021469644,1.1593472957611084,23.512189160752904
